Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,part_of_day
1900-01-01 16:00:00,Tuesday,31-50,Male,Secondary education,Employee,5-10yr,Car,Governmental,Moderate Vehicle,Commercial areas,other,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 18:00:00,Wednesday,31-50,Male,Secondary education,Employee,5-10yr,Two-Wheeler,Owner,Moderate Vehicle,Residential areas,One way,Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Violation,Sore
1900-01-01 10:13:00,Thursday,Over 51,Male,Secondary education,Employee,5-10yr,Small Bus,Owner,Moderate Vehicle,Public service areas,Double carriageway (median),Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,4,1,Moving forward,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 20:30:00,Friday,18-30,Female,Secondary education,Employee,Below 1yr,Car,Governmental,Moderate Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 12:40:00,Friday,Over 51,Male,Primary education,Employee,1-2yr,Car,Owner,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Rollover,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 19:31:00,Wednesday,18-30,Male,Secondary education,Employee,2-5yr,Large Truck,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,Crossing,Asphalt,Wet or damp,Poor lighting,Rainy,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 15:04:00,Wednesday,18-30,Male,Secondary education,Employee,2-5yr,Large Bus,Owner,Old Vehicle,Commercial areas,Undivided Two way,Curved Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,3,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 12:05:00,Friday,Over 51,Male,Secondary education,Employee,1-2yr,Two-Wheeler,Governmental,Moderate Vehicle,Commercial areas,other,Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Windy,Collision with pedestrians,3,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 11:41:00,Saturday,31-50,Male,Secondary education,Employee,1-2yr,Small Truck,Owner,Moderate Vehicle,Public service areas,Undivided Two way,Flat Road,O Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 21:14:00,Saturday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Collision with pedestrians,3,1,Moving forward,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 13:32:00,Wednesday,Over 51,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,One way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 08:45:00,Thursday,31-50,Male,Secondary education,Employee,2-5yr,Car,Governmental,New Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Other,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 17:55:00,Tuesday,18-30,Male,Secondary education,Employee,5-10yr,Large Bus,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 03:00:00,Sunday,18-30,Male,Higher education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Wet or damp,Moderate lighting,Clear,Collision with pedestrians,1,2,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 17:10:00,Thursday,18-30,Male,Secondary education,Employee,5-10yr,Medium Truck,Owner,Moderate Vehicle,Other,Undivided Two way,Hilly Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,External Factors,Sore
1900-01-01 21:54:00,Thursday,18-30,Female,Secondary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Collision with roadside objects,2,1,Other,Passenger,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 13:20:00,Friday,Over 51,Male,Primary education,Owner,2-5yr,Large Truck,Owner,Moderate Vehicle,Public service areas,Undivided Two way,Steep Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 08:55:00,Saturday,18-30,Male,Secondary education,Employee,Above 10yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 19:55:00,Sunday,31-50,Male,Primary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,2,Turnover,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 14:10:00,Wednesday,18-30,Male,Secondary education,Owner,2-5yr,Car,Owner,Old Vehicle,Residential areas,other,Hilly Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,3,1,Junction movement,Pedestrian,Female,Under 18,3,Self-employed,Normal,Walking along carriageway,Human Error,Siang
1900-01-01 09:50:00,Tuesday,31-50,Male,Secondary education,Employee,1-2yr,Large Bus,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,3,Moving forward,Passenger,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 19:55:00,Monday,18-30,Male,Secondary education,Employee,2-5yr,Small Bus,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 14:57:00,Thursday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,One way,Flat Road,Unknown,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,1,Moving backward,Driver or rider,Male,18-30,na,Employee,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 12:51:00,Thursday,31-50,Male,Secondary education,Employee,1-2yr,Large Bus,Governmental,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Female,Under 18,3,Other,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 17:51:00,Friday,31-50,Male,Primary education,Employee,5-10yr,Small Bus,Owner,Old Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving backward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 15:55:00,Wednesday,18-30,Male,Primary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Double carriageway (median),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 13:55:00,Sunday,18-30,Male,Secondary education,Employee,2-5yr,Car,Governmental,New Vehicle,Recreational areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,3,Moving forward,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 08:15:00,Friday,31-50,Male,Secondary education,Employee,2-5yr,Large Truck,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Clear,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 19:15:00,Saturday,Over 51,Male,Primary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Wet or damp,Moderate lighting,Clear,Vehicle with vehicle collision,2,2,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 20:17:00,Thursday,31-50,Male,Secondary education,Employee,Below 1yr,Car,Governmental,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Other,Wet or damp,Moderate lighting,Clear,Collision with pedestrians,2,1,Turnover,Passenger,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 23:55:00,Thursday,18-30,Male,Secondary education,Employee,Below 1yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Snow,Moderate lighting,Other,Collision with roadside objects,2,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 16:30:00,Tuesday,31-50,Male,Secondary education,Employee,5-10yr,Special Vehicle,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,2,Moving forward,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 17:50:00,Monday,Over 51,Male,Secondary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 09:00:00,Friday,31-50,Male,Secondary education,Owner,Above 10yr,Small Bus,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,3,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 22:39:00,Friday,18-30,Female,Secondary education,Employee,Above 10yr,Small Bus,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,O Shape,Asphalt,Wet or damp,Moderate lighting,Rainy,Collision with roadside objects,2,1,Moving forward,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 10:25:00,Sunday,18-30,Male,Secondary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,4,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 13:00:00,Thursday,Under 18,Male,Secondary education,Employee,2-5yr,Special Vehicle,Owner,Moderate Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 18:19:00,Monday,18-30,Male,Primary education,Employee,5-10yr,Small Truck,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 16:45:00,Saturday,Over 51,Male,Secondary education,Owner,5-10yr,Large Truck,Governmental,Moderate Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 16:05:00,Monday,18-30,Male,Secondary education,Employee,Above 10yr,Small Bus,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,1,Turnover,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 14:59:00,Wednesday,Under 18,Male,Secondary education,Employee,2-5yr,Special Vehicle,Owner,Old Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Pedestrian,Male,18-30,3,Employee,Normal,Unknown or other,External Factors,Siang
1900-01-01 13:41:00,Tuesday,18-30,Male,Higher education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,One way,Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,4,2,Other,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Vehicle Issues,Siang
1900-01-01 10:40:00,Friday,Over 51,Male,Primary education,Owner,Above 10yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Passenger,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 13:34:00,Friday,31-50,Male,Primary education,Employee,5-10yr,Car,Governmental,Moderate Vehicle,Commercial areas,other,Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,2,4,Moving forward,Passenger,Female,Over 51,3,Driver,Normal,Not a Pedestrian,External Factors,Siang
1900-01-01 15:20:00,Friday,18-30,Male,Secondary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Commercial areas,One way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving backward,Pedestrian,Female,Under 18,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Human Error,Sore
1900-01-01 02:45:00,Thursday,18-30,Male,Secondary education,Employee,Below 1yr,Medium Truck,Owner,Moderate Vehicle,Other,Two-way (divided with solid lines road marking),Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Driver or rider,Male,Under 18,3,Other,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 09:00:00,Friday,31-50,Male,Secondary education,Employee,2-5yr,Large Truck,Owner,Moderate Vehicle,Public service areas,other,Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 07:25:00,Friday,18-30,Male,Primary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Double carriageway (median),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Rollover,2,1,Stopping,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from driver's nearside,Human Error,Pagi
1900-01-01 07:50:00,Friday,18-30,Male,Secondary education,Employee,5-10yr,Car,Governmental,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 14:57:00,Friday,31-50,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Other,Undivided Two way,Hilly Road,Other,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Pedestrian,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Violation,Siang
1900-01-01 09:51:00,Thursday,Over 51,Male,Secondary education,Owner,1-2yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,1,Moving forward,Driver or rider,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 12:05:00,Tuesday,18-30,Male,Secondary education,Employee,1-2yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,other,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 23:55:00,Thursday,31-50,Male,Secondary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Recreational areas,other,Flat Road,Y Shape,Asphalt,Snow,Moderate lighting,Other,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 18:30:00,Wednesday,31-50,Male,Secondary education,Owner,5-10yr,Small Truck,Owner,Moderate Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,Other,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving backward,Driver or rider,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 13:11:00,Wednesday,18-30,Male,Primary education,Employee,1-2yr,Car,Governmental,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Rainy,Collision with roadside objects,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Vehicle Issues,Siang
1900-01-01 18:09:00,Tuesday,18-30,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Public service areas,Undivided Two way,Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 20:50:00,Thursday,31-50,Male,Secondary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 18:26:00,Saturday,Under 18,Male,Secondary education,Employee,5-10yr,Car,Owner,New Vehicle,Recreational areas,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Rollover,2,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 09:25:00,Wednesday,Under 18,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Other,Double carriageway (median),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 08:50:00,Sunday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Junction movement,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Pagi
