Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Number_of_vehicles_involved_log,Number_of_casualties_log
14:40:00,Saturday,Dewasa,Male,Above high school,Owner,1-2yr,Public Transport,Owner,Unknown,No defect,Residential areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,3,Unsafe Lane Change,Serious Injury,1.0986122886681096,0.6931471805599453
14:40:00,Saturday,Dewasa,Male,Above high school,Employee,No Licence,Private Vehicle,Owner,,No defect,Office areas,Other,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,3,Distance & Priority Violation,Serious Injury,1.0986122886681096,0.6931471805599453
17:45:00,Thursday,Dewasa,Male,Junior high school,Employee,1-2yr,Public Transport,Owner,2-5yrs,No defect,Office areas,Divided Road (Median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,1.0986122886681096
17:45:00,Thursday,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,Above 10yr,No defect,Office areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Waiting to go,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,1.0986122886681096
17:45:00,Thursday,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,1-2yr,No defect,Office areas,Other,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,3,Distance & Priority Violation,Serious Injury,1.0986122886681096,1.0986122886681096
22:45:00,Monday,Dewasa,Female,Junior high school,Employee,Above 10yr,Commercial Vehicle,Owner,,No defect,Office areas,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,3,Distance & Priority Violation,Serious Injury,1.0986122886681096,1.3862943611198906
22:45:00,Monday,Dewasa,Male,Junior high school,Owner,5-10yr,Public Transport,Owner,,No defect,Office areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,3,Moving Backward,Slight Injury,1.0986122886681096,1.3862943611198906
22:45:00,Monday,Dewasa,Male,Elementary school,Employee,2-5yr,Public Transport,Owner,,No defect,Office areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,3,Unsafe Lane Change,Serious Injury,1.0986122886681096,1.3862943611198906
22:45:00,Monday,Dewasa,Male,Junior high school,Employee,2-5yr,,Owner,Above 10yr,No defect,Residential areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,1.3862943611198906
8:20:00,Tuesday,Dewasa,Male,Junior high school,Employee,Below 1yr,Commercial Vehicle,Owner,5-10yrs,No defect,Residential areas,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,3,Moving Backward,Serious Injury,1.0986122886681096,0.6931471805599453
8:20:00,Tuesday,Remaja,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,,No defect,Other,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,3,Improper Parking/Exit,Slight Injury,1.0986122886681096,0.6931471805599453
15:10:00,Thursday,Dewasa,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,5-10yrs,No defect, Church areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,3,Reckless Driving,Serious Injury,0.6931471805599453,0.6931471805599453
12:11:00,Thursday,Dewasa,Male,Elementary school,Employee,5-10yr,Commercial Vehicle,Owner,,No defect,  Recreational areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Getting off,3,Overloading & Overcapacity,Serious Injury,1.0986122886681096,0.6931471805599453
12:11:00,Thursday,Dewasa,Male,Junior high school,Employee,Above 10yr,Public Transport,Owner,,, Industrial areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,3,Unsafe Lane Change,Serious Injury,1.0986122886681096,0.6931471805599453
18:36:00,Wednesday,Dewasa,Male,,Unknown,,,,,,Residential areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with animals,2,3,Turnover,3,Improper Parking/Exit,Slight Injury,1.0986122886681096,1.3862943611198906
18:36:00,Wednesday,Dewasa,Male,Junior high school,Employee,2-5yr,Public Transport,Owner,Above 10yr,No defect,Residential areas,Other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,3,Other/Unknown,Slight Injury,1.0986122886681096,1.3862943611198906
18:36:00,Wednesday,Dewasa,Unknown,Junior high school,Employee,5-10yr,,Owner,2-5yrs,No defect,Office areas,Divided Road (Median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,1.3862943611198906
14:35:00,Friday,Dewasa,Male,Above high school,Employee,2-5yr,Private Vehicle,Owner,2-5yrs,No defect,  Market areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,3,Unsafe Lane Change,Slight Injury,0.6931471805599453,0.6931471805599453
12:25:00,Tuesday,Lansia,Unknown,,Unknown,,,,,,Unknown,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,0.6931471805599453
12:25:00,Tuesday,Dewasa,Male,,Employee,1-2yr,Commercial Vehicle,Owner,,No defect, Industrial areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,2,Speeding,Slight Injury,1.0986122886681096,0.6931471805599453
15:30:00,Monday,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,,No defect,Residential areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,3,Unsafe Lane Change,Slight Injury,0.6931471805599453,0.6931471805599453
18:10:00,Thursday,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Governmental,Below 1yr,No defect,Residential areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,3,Distance & Priority Violation,Slight Injury,0.6931471805599453,0.6931471805599453
15:25:00,Thursday,Dewasa,Male,Junior high school,Employee,Below 1yr,Commercial Vehicle,Owner,5-10yrs,No defect,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,0.6931471805599453
15:25:00,Thursday,Dewasa,Unknown,Junior high school,Employee,2-5yr,Private Vehicle,Governmental,,No defect,Residential areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,0.6931471805599453
13:57:00,Saturday,Lansia,Male,Junior high school,Employee,Below 1yr,Private Vehicle,Owner,1-2yr,No defect,Rural village areas,Other,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,0.6931471805599453
13:57:00,Saturday,Dewasa,Male,High school,Employee,5-10yr,Private Vehicle,Owner,2-5yrs,No defect,Rural village areas,Other,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,0.6931471805599453
20:30:00,Friday,Dewasa,Male,Above high school,Employee,1-2yr,Public Transport,Owner,,No defect,Office areas,Divided Road (Median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,1.0986122886681096
20:30:00,Friday,Lansia,Male,Junior high school,Employee,Below 1yr,,Owner,2-5yrs,No defect,Residential areas,Other,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,2,Other/Unknown,Slight Injury,1.0986122886681096,1.0986122886681096
20:30:00,Friday,Lansia,Male,,Unknown,,,Owner,,,Residential areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,3,Reckless Driving,Slight Injury,1.0986122886681096,1.0986122886681096
16:30:00,Sunday,Lansia,Male,High school,Employee,Below 1yr,Private Vehicle,Owner,,7, Outside rural areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,0.6931471805599453
16:30:00,Sunday,Dewasa,Male,High school,Employee,Below 1yr,Commercial Vehicle,Owner,Above 10yr,,Residential areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Reckless Driving,Slight Injury,1.0986122886681096,0.6931471805599453
21:50:00,Sunday,Dewasa,Male,,Unknown,,,Owner,5-10yrs,5, Church areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,1.0986122886681096
21:50:00,Sunday,Dewasa,Male,High school,Employee,2-5yr,Private Vehicle,Owner,,No defect,Office areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,1.0986122886681096
9:12:00,Wednesday,Dewasa,Male,Junior high school,Employee,Above 10yr,Public Transport,Owner,Unknown,No defect,Office areas,Other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,0.6931471805599453
9:12:00,Wednesday,Dewasa,Male,Junior high school,Employee,Above 10yr,Public Transport,Governmental,,No defect,Office areas,Other,Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,0.6931471805599453
14:40:00,Friday,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,2-5yrs,,Other,Other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Unsafe Lane Change,Serious Injury,0.6931471805599453,0.6931471805599453
10:36:00,Friday,Dewasa,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,2-5yrs,,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Speeding,Slight Injury,1.0986122886681096,0.6931471805599453
10:36:00,Friday,Dewasa,Male,Unknown,Employee,Below 1yr,Non-Motorized,Owner,Unknown,No defect,Residential areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,0.6931471805599453
18:19:00,Monday,Dewasa,Male,Junior high school,Employee,Below 1yr,Private Vehicle,Owner,,,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,0.6931471805599453
18:19:00,Monday,Dewasa,Male,High school,Employee,2-5yr,Private Vehicle,Owner,Below 1yr,,Other,Other,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,2,Unsafe Lane Change,Slight Injury,1.0986122886681096,0.6931471805599453
19:12:00,Tuesday,Dewasa,Male,Junior high school,Owner,1-2yr,Private Vehicle,Owner,5-10yrs,,Other,Other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Improper Parking/Exit,Slight Injury,1.0986122886681096,0.6931471805599453
19:12:00,Tuesday,Dewasa,Male,Junior high school,Employee,5-10yr,Other,Governmental,5-10yrs,No defect,Other,Other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Other/Unknown,Slight Injury,1.0986122886681096,0.6931471805599453
11:38:00,Saturday,Lansia,Male,Elementary school,Employee,2-5yr,Public Transport,Owner,2-5yrs,No defect,Other,Divided Road (Median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,3,Other/Unknown,Slight Injury,1.0986122886681096,1.3862943611198906
11:38:00,Saturday,Dewasa,Male,Elementary school,Owner,5-10yr,Private Vehicle,Owner,,No defect,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,1.3862943611198906
11:38:00,Saturday,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,2-5yrs,, Church areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,1.3862943611198906
11:38:00,Saturday,Dewasa,Unknown,Junior high school,Employee,5-10yr,Private Vehicle,Owner,5-10yrs,,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,3,Reckless Driving,Slight Injury,1.0986122886681096,1.3862943611198906
13:30:00,Thursday,Dewasa,Male,High school,Employee,5-10yr,Public Transport,Organization,2-5yrs,, Industrial areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,0.6931471805599453
13:30:00,Thursday,Dewasa,Male,Junior high school,Employee,5-10yr,,Owner,,No defect,Residential areas,Divided Road (Median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,0.6931471805599453
12:39:00,Tuesday,Dewasa,Unknown,Junior high school,Employee,Above 10yr,Private Vehicle,Governmental,Above 10yr,No defect,Other,Other,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,0.6931471805599453
12:39:00,Tuesday,Lansia,Male,Junior high school,,1-2yr,Commercial Vehicle,Owner,,No defect,Office areas,Other,Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,3,Reckless Driving,Slight Injury,1.0986122886681096,0.6931471805599453
12:30:00,Friday,Dewasa,Male,Junior high school,Employee,2-5yr,,Owner,,No defect, Industrial areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,0.6931471805599453
12:30:00,Friday,Dewasa,Male,Junior high school,Employee,1-2yr,Public Transport,Owner,1-2yr,No defect, Industrial areas,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Reckless Driving,Slight Injury,1.0986122886681096,0.6931471805599453
16:55:00,Sunday,Dewasa,Male,,,,,Owner,,No defect,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Other/Unknown,Slight Injury,1.0986122886681096,0.6931471805599453
16:55:00,Sunday,Dewasa,Male,Elementary school,Employee,5-10yr,Public Transport,Organization,Above 10yr,, Hospital areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Unsafe Driving,Slight Injury,1.0986122886681096,0.6931471805599453
18:25:00,Monday,Unknwon,Female,Junior high school,Employee,5-10yr,Public Transport,Owner,Unknown,,Office areas,One Way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Speeding,Slight Injury,1.0986122886681096,0.6931471805599453
18:25:00,Monday,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,2-5yrs,No defect, Church areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Other/Unknown,Slight Injury,1.0986122886681096,0.6931471805599453
13:01:00,Thursday,Dewasa,Unknown,Junior high school,Employee,2-5yr,,Organization,5-10yrs,No defect, Hospital areas,Other,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,0.6931471805599453
13:01:00,Thursday,Dewasa,Male,Junior high school,Owner,Above 10yr,Private Vehicle,Owner,Above 10yr,No defect,Office areas,Other,Tangent road with flat terrain,O Shape,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,0.6931471805599453
13:45:00,Wednesday,Dewasa,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,2-5yrs,No defect,Other,Other,Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Other/Unknown,Slight Injury,1.0986122886681096,0.6931471805599453
13:45:00,Wednesday,Dewasa,Male,Elementary school,Other,5-10yr,Public Transport,Owner,1-2yr,,Office areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,0.6931471805599453
18:45:00,Monday,Dewasa,Male,Elementary school,Employee,5-10yr,Commercial Vehicle,Owner,2-5yrs,,Office areas,Other,Tangent road with mountainous terrain and,Crossing,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,0.6931471805599453
18:45:00,Monday,Dewasa,Male,Junior high school,Unknown,5-10yr,Private Vehicle,Owner,,No defect,Other,Divided Road (Median),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,3,Distance & Priority Violation,Slight Injury,1.0986122886681096,0.6931471805599453
11:02:00,Thursday,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,1-2yr,No defect,Office areas,Other,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,3,Reckless Driving,Slight Injury,0.6931471805599453,1.6094379124341003
11:02:00,Thursday,Dewasa,Male,Elementary school,Employee,Above 10yr,Private Vehicle,Owner,,No defect,Residential areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,3,Reckless Driving,Slight Injury,0.6931471805599453,1.6094379124341003
11:02:00,Thursday,Dewasa,Male,Junior high school,,Below 1yr,Public Transport,Owner,Unknown,,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,3,Distance & Priority Violation,Slight Injury,0.6931471805599453,1.6094379124341003
11:02:00,Thursday,Dewasa,Male,Junior high school,Employee,5-10yr,Public Transport,Owner,2-5yrs,,Office areas,Divided Road (Median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,3,Distance & Priority Violation,Slight Injury,0.6931471805599453,1.6094379124341003
15:55:00,Tuesday,Lansia,Male,Elementary school,Employee,1-2yr,Commercial Vehicle,Owner,5-10yrs,,Office areas,Other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,3,Unsafe Lane Change,Serious Injury,0.6931471805599453,0.6931471805599453
15:00:00,Wednesday,Lansia,Unknown,,Unknown,,,,,,Office areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Reckless Driving,Slight Injury,0.6931471805599453,0.6931471805599453
20:00:00,Sunday,Dewasa,Male,Junior high school,Employee,Above 10yr,,Owner,5-10yrs,No defect,Other,Other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,0.6931471805599453
20:00:00,Sunday,Remaja,Male,High school,Owner,2-5yr,Private Vehicle,Owner,,No defect, Church areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Unsafe Lane Change,Slight Injury,1.0986122886681096,0.6931471805599453
18:48:00,Wednesday,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,Unknown,No defect, Industrial areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,3,Unsafe Lane Change,Serious Injury,1.0986122886681096,0.6931471805599453
18:48:00,Wednesday,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,1-2yr,No defect,Office areas,Divided Road (Median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,2,Reckless Driving,Serious Injury,1.0986122886681096,0.6931471805599453
15:55:00,Sunday,Lansia,Male,Above high school,Owner,2-5yr,Commercial Vehicle,Owner,Unknown,No defect, Church areas,Other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,3,Reckless Driving,Slight Injury,0.6931471805599453,1.0986122886681096
15:55:00,Sunday,Lansia,Male,,Unknown,,Commercial Vehicle,Owner,,,Office areas,Other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,3,Distance & Priority Violation,Slight Injury,0.6931471805599453,1.0986122886681096
23:25:00,Wednesday,Lansia,Unknown,Elementary school,Owner,2-5yr,Private Vehicle,Owner,,No defect,Office areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,3,Reckless Driving,Slight Injury,1.0986122886681096,1.3862943611198906
