Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity
Afternoon,Dewasa,Male,Employee,No Licence,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,3,Distance & Priority Violation,Serious Injury
Evening,Dewasa,Male,Employee,1-2yr,Public Transport,Owner,Urban,Divided Road (Median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Stopping,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Urban,Other,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Moving forward,3,Distance & Priority Violation,Serious Injury
Late Night,Dewasa,Female,Employee,Above 10yr,Commercial Vehicle,Owner,Urban,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,3,Distance & Priority Violation,Serious Injury
Late Night,Dewasa,Male,Owner,5-10yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,3,Moving Backward,Slight Injury
Late Night,Dewasa,Male,Employee,2-5yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,3,Unsafe Lane Change,Serious Injury
Late Night,Dewasa,Male,Employee,2-5yr,,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving backward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Urban,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,3,Moving Backward,Serious Injury
Morning,Remaja,Male,Employee,2-5yr,Commercial Vehicle,Owner,Other,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,3,Improper Parking/Exit,Slight Injury
Afternoon,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Animal Collision,1,1,Moving backward,3,Reckless Driving,Serious Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Exiting,3,Overloading & Overcapacity,Serious Injury
Afternoon,Dewasa,Male,Employee,Above 10yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving backward,3,Unsafe Lane Change,Serious Injury
Evening,Dewasa,Male,Unknown,5-10yr,,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Animal Collision,2,3,Turning,3,Improper Parking/Exit,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Public Transport,Owner,Urban,Other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,3,Moving forward,3,Other/Unknown,Slight Injury
Evening,Dewasa,Unknown,Employee,5-10yr,,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,3,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,1,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Lansia,Unknown,Unknown,5-10yr,,Owner,Unknown,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,1-2yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,2,Speeding,Slight Injury
Afternoon,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Governmental,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,1,Moving backward,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving backward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Unknown,Employee,2-5yr,Private Vehicle,Governmental,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Turning,3,Distance & Priority Violation,Slight Injury
Afternoon,Lansia,Male,Employee,Below 1yr,Private Vehicle,Owner,Rural,Other,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Rural,Other,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Employee,1-2yr,Public Transport,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,2,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Lansia,Male,Employee,Below 1yr,,Owner,Urban,Other,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Animal Collision,2,2,Moving forward,2,Other/Unknown,Slight Injury
Late Night,Lansia,Male,Unknown,5-10yr,,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Animal Collision,2,2,Moving forward,3,Reckless Driving,Slight Injury
Evening,Lansia,Male,Employee,Below 1yr,Private Vehicle,Owner,Rural,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Late Night,Dewasa,Male,Unknown,5-10yr,,Owner,Public,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,2,2,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,Above 10yr,Public Transport,Owner,Urban,Other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,Above 10yr,Public Transport,Governmental,Urban,Other,Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Unsafe Lane Change,Serious Injury
Morning,Dewasa,Male,Employee,1-2yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Speeding,Slight Injury
Morning,Dewasa,Male,Employee,Below 1yr,Non-Motorized,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,Below 1yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Other,Other,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,2,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Owner,1-2yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Improper Parking/Exit,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Other,Governmental,Other,Other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Other/Unknown,Slight Injury
Morning,Lansia,Male,Employee,2-5yr,Public Transport,Owner,Other,Divided Road (Median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,3,Moving forward,3,Other/Unknown,Slight Injury
Morning,Dewasa,Male,Owner,5-10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,3,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Unknown,Employee,5-10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,3,Reckless Driving,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Public Transport,Organization,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Unknown,Employee,Above 10yr,Private Vehicle,Governmental,Other,Other,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Lansia,Male,Employee,1-2yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Afternoon,Dewasa,Male,Employee,2-5yr,,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Employee,1-2yr,Public Transport,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Evening,Dewasa,Male,Employee,5-10yr,,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Other/Unknown,Slight Injury
Evening,Dewasa,Male,Employee,5-10yr,Public Transport,Organization,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Driving,Slight Injury
Evening,Unknwon,Female,Employee,5-10yr,Public Transport,Owner,Urban,One Way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Speeding,Slight Injury
Evening,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Other/Unknown,Slight Injury
Afternoon,Dewasa,Unknown,Employee,2-5yr,,Organization,Urban,Other,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Owner,Above 10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Unknown,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Other,Other,Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Other/Unknown,Slight Injury
Afternoon,Dewasa,Male,Other,5-10yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving backward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Unknown,5-10yr,Private Vehicle,Owner,Other,Divided Road (Median),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Urban,Other,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,3,Reckless Driving,Slight Injury
Morning,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,3,Reckless Driving,Slight Injury
Morning,Dewasa,Male,Employee,Below 1yr,Public Transport,Owner,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Lansia,Male,Employee,1-2yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Turning,3,Unsafe Lane Change,Serious Injury
Afternoon,Lansia,Unknown,Unknown,5-10yr,,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Reckless Driving,Slight Injury
Late Night,Dewasa,Male,Employee,Above 10yr,,Owner,Other,Other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Remaja,Male,Owner,2-5yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,1-2yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Pedestrian Collision,2,1,Moving forward,3,Unsafe Lane Change,Serious Injury
Evening,Dewasa,Male,Employee,1-2yr,Commercial Vehicle,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,2,Reckless Driving,Serious Injury
Afternoon,Lansia,Male,Owner,2-5yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,2,Moving forward,3,Reckless Driving,Slight Injury
Afternoon,Lansia,Male,Unknown,5-10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,2,Turning,3,Distance & Priority Violation,Slight Injury
Late Night,Lansia,Unknown,Owner,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Self-accident,2,3,Moving forward,3,Reckless Driving,Slight Injury
Late Night,Lansia,Male,Employee,1-2yr,Other,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,3,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Owner,5-10yr,Other,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,3,Moving backward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Unknown,Employee,Below 1yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Serious Injury
Morning,Dewasa,Male,Employee,2-5yr,,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Serious Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Moving Backward,Fatal injury
Afternoon,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Fatal injury
Afternoon,Dewasa,Male,Employee,2-5yr,Other,Owner,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Owner,Above 10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Distance & Priority Violation,Slight Injury
Morning,Lansia,Male,Employee,1-2yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Lansia,Male,Employee,5-10yr,Commercial Vehicle,Governmental,Public,Divided Road (Median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Reckless Driving,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Public Transport,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Unknown,Employee,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,2,1,Moving forward,2,Reckless Driving,Slight Injury
Late Night,Lansia,Male,Employee,Above 10yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Late Night,Dewasa,Male,Employee,Above 10yr,Other,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,3,Other/Unknown,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Employee,2-5yr,Public Transport,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Stopping,2,Distance & Priority Violation,Slight Injury
Evening,Lansia,Male,Employee,5-10yr,Other,Governmental,Urban,Other,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Unknown,Employee,Above 10yr,Other,Owner,Public,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,2,Reckless Driving,Slight Injury
Late Night,Remaja,Male,Employee,5-10yr,Other,Owner,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle Collision,1,4,Moving forward,3,Speeding,Serious Injury
Late Night,Remaja,Male,Employee,Above 10yr,Public Transport,Owner,Other,One Way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle Collision,1,4,Moving forward,2,Distance & Priority Violation,Serious Injury
Late Night,Remaja,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle Collision,1,4,Moving forward,3,Distance & Priority Violation,Serious Injury
Late Night,Remaja,Male,Employee,5-10yr,Other,Owner,Urban,One Way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle Collision,1,4,Moving forward,3,Distance & Priority Violation,Serious Injury
Late Night,Lansia,Male,Employee,1-2yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle Collision,3,1,Turning,3,Other/Unknown,Slight Injury
Late Night,Dewasa,Unknown,Employee,5-10yr,Other,Governmental,Urban,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle Collision,3,1,Moving forward,3,Other/Unknown,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle Collision,3,1,Moving forward,3,Moving Backward,Slight Injury
