Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Day
22:00:00,18-30,Male,Owner,5-10yr,Public Transport,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,na,Moving Backward,Slight Injury,Monday
22:00:00,18-30,Male,Employee,2-5yr,Public Transport,Owner,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,na,Unsafe Lane Change,Serious Injury,Monday
22:00:00,18-30,Male,Employee,2-5yr,Private Vehicle,Owner,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving backward,na,Priority Violation,Slight Injury,Monday
08:00:00,18-30,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,3,Moving Backward,Serious Injury,Tuesday
08:00:00,Under 18,Male,Employee,2-5yr,Commercial Vehicle,Owner,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,na,Improper Parking/Exit,Slight Injury,Tuesday
15:00:00,18-30,Male,Employee,2-5yr,Commercial Vehicle,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Animal Collision,1,1,Moving backward,3,Speeding,Serious Injury,Thursday
12:00:00,18-30,Male,Employee,5-10yr,Commercial Vehicle,Owner,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Exiting,3,Overloading,Serious Injury,Thursday
12:00:00,31-50,Male,Employee,Above 10yr,Public Transport,Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving backward,3,Unsafe Lane Change,Serious Injury,Thursday
18:00:00,18-30,Male,Unknown,5-10yr,Private Vehicle,Owner,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Animal Collision,2,3,Turning,na,Improper Parking/Exit,Slight Injury,Wednesday
18:00:00,18-30,Male,Employee,2-5yr,Public Transport,Owner,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,3,Moving forward,3,Other,Slight Injury,Wednesday
18:00:00,18-30,Unknown,Employee,5-10yr,Private Vehicle,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,3,Moving forward,3,Unsafe Lane Change,Slight Injury,Wednesday
14:00:00,18-30,Male,Employee,2-5yr,Private Vehicle,Owner,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,1,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Friday
12:00:00,Over 51,Unknown,Unknown,5-10yr,Private Vehicle,Owner,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Priority Violation,Slight Injury,Tuesday
12:00:00,18-30,Male,Employee,1-2yr,Commercial Vehicle,Owner, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,2,Speeding,Slight Injury,Tuesday
15:00:00,18-30,Male,Employee,2-5yr,Private Vehicle,Owner,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Monday
18:00:00,18-30,Male,Employee,Above 10yr,Private Vehicle,Governmental,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,1,Moving backward,3,Priority Violation,Slight Injury,Thursday
15:00:00,18-30,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving backward,3,Unsafe Lane Change,Slight Injury,Thursday
15:00:00,31-50,Unknown,Employee,2-5yr,Private Vehicle,Governmental,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Turning,na,No Distance,Slight Injury,Thursday
13:00:00,Over 51,Male,Employee,Below 1yr,Private Vehicle,Owner,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,3,Priority Violation,Slight Injury,Saturday
13:00:00,18-30,Male,Employee,5-10yr,Private Vehicle,Owner,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,3,No Distance,Slight Injury,Saturday
20:00:00,18-30,Male,Employee,1-2yr,Public Transport,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,2,Moving forward,na,Priority Violation,Slight Injury,Friday
20:00:00,Over 51,Male,Employee,Below 1yr,Private Vehicle,Owner,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Animal Collision,2,2,Moving forward,2,Other,Slight Injury,Friday
20:00:00,Over 51,Male,Unknown,5-10yr,Private Vehicle,Owner,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Animal Collision,2,2,Moving forward,na,Driving carelessly,Slight Injury,Friday
16:00:00,Over 51,Male,Employee,Below 1yr,Private Vehicle,Owner, Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Sunday
16:00:00,31-50,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Driving carelessly,Slight Injury,Sunday
21:00:00,31-50,Male,Unknown,5-10yr,Private Vehicle,Owner, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,3,Unsafe Lane Change,Slight Injury,Sunday
21:00:00,18-30,Male,Employee,2-5yr,Private Vehicle,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,2,2,Moving forward,3,Priority Violation,Slight Injury,Sunday
09:00:00,18-30,Male,Employee,Above 10yr,Public Transport,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,No Distance,Slight Injury,Wednesday
09:00:00,18-30,Male,Employee,Above 10yr,Public Transport,Governmental,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Wednesday
14:00:00,31-50,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,na,Unsafe Lane Change,Serious Injury,Friday
10:00:00,31-50,Male,Employee,1-2yr,Private Vehicle,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Speeding,Slight Injury,Friday
10:00:00,31-50,Male,Employee,Below 1yr,Non-Motorized,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,No Distance,Slight Injury,Friday
18:00:00,18-30,Male,Employee,Below 1yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Monday
18:00:00,18-30,Male,Employee,2-5yr,Private Vehicle,Owner,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,2,Unsafe Lane Change,Slight Injury,Monday
19:00:00,18-30,Male,Owner,1-2yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Improper Parking/Exit,Slight Injury,Tuesday
19:00:00,31-50,Male,Employee,5-10yr,Other,Governmental,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Other,Slight Injury,Tuesday
11:00:00,Over 51,Male,Employee,2-5yr,Public Transport,Owner,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,3,Moving forward,3,Other,Slight Injury,Saturday
11:00:00,31-50,Male,Owner,5-10yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,3,No Distance,Slight Injury,Saturday
11:00:00,31-50,Male,Employee,Above 10yr,Private Vehicle,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,3,Moving forward,na,Priority Violation,Slight Injury,Saturday
11:00:00,18-30,Unknown,Employee,5-10yr,Private Vehicle,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,3,Speeding,Slight Injury,Saturday
13:00:00,18-30,Male,Employee,5-10yr,Public Transport,Organization, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,3,Priority Violation,Slight Injury,Thursday
13:00:00,31-50,Male,Employee,5-10yr,Private Vehicle,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,No Distance,Slight Injury,Thursday
12:00:00,18-30,Unknown,Employee,Above 10yr,Private Vehicle,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Tuesday
12:00:00,Over 51,Male,Employee,1-2yr,Commercial Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,1,Moving forward,3,Driving carelessly,Slight Injury,Tuesday
12:00:00,18-30,Male,Employee,2-5yr,Private Vehicle,Owner, Industrial areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Friday
12:00:00,31-50,Male,Employee,1-2yr,Public Transport,Owner, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Speeding,Slight Injury,Friday
16:00:00,31-50,Male,Employee,5-10yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Other,Slight Injury,Sunday
16:00:00,31-50,Male,Employee,5-10yr,Public Transport,Organization, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Sunday
18:00:00,Unknown,Female,Employee,5-10yr,Public Transport,Owner,Office areas,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Speeding,Slight Injury,Monday
18:00:00,31-50,Male,Employee,Above 10yr,Private Vehicle,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Unknown,Slight Injury,Monday
13:00:00,31-50,Unknown,Employee,2-5yr,Private Vehicle,Organization, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Thursday
13:00:00,18-30,Male,Owner,Above 10yr,Private Vehicle,Owner,Office areas,other,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Unknown,3,No Distance,Slight Injury,Thursday
13:00:00,18-30,Male,Employee,2-5yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Other,Slight Injury,Wednesday
13:00:00,31-50,Male,Other,5-10yr,Public Transport,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Priority Violation,Slight Injury,Wednesday
18:00:00,18-30,Male,Employee,5-10yr,Commercial Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving backward,3,Unsafe Lane Change,Slight Injury,Monday
18:00:00,31-50,Male,Unknown,5-10yr,Private Vehicle,Owner,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,na,Priority Violation,Slight Injury,Monday
11:00:00,31-50,Male,Employee,5-10yr,Private Vehicle,Owner,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,3,Speeding,Slight Injury,Thursday
11:00:00,31-50,Male,Employee,Above 10yr,Private Vehicle,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,3,Driving carelessly,Slight Injury,Thursday
11:00:00,31-50,Male,Employee,Below 1yr,Public Transport,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,na,Priority Violation,Slight Injury,Thursday
11:00:00,31-50,Male,Employee,5-10yr,Public Transport,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,3,Priority Violation,Slight Injury,Thursday
15:00:00,Over 51,Male,Employee,1-2yr,Commercial Vehicle,Owner,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Turning,3,Unsafe Lane Change,Serious Injury,Tuesday
15:00:00,Over 51,Unknown,Unknown,5-10yr,Private Vehicle,Owner,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,na,Driving carelessly,Slight Injury,Wednesday
20:00:00,31-50,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Sunday
20:00:00,Under 18,Male,Owner,2-5yr,Private Vehicle,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Sunday
18:00:00,31-50,Male,Employee,1-2yr,Commercial Vehicle,Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Pedestrian Collision,2,1,Moving forward,3,Unsafe Lane Change,Serious Injury,Wednesday
18:00:00,31-50,Male,Employee,1-2yr,Commercial Vehicle,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,2,Reckless Driving,Serious Injury,Wednesday
15:00:00,Over 51,Male,Owner,2-5yr,Commercial Vehicle,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,2,Moving forward,na,Driving carelessly,Slight Injury,Sunday
15:00:00,Over 51,Male,Unknown,5-10yr,Commercial Vehicle,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,2,Turning,3,No Distance,Slight Injury,Sunday
23:00:00,Over 51,Unknown,Owner,2-5yr,Private Vehicle,Owner,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Self-accident,2,3,Moving forward,3,Driving carelessly,Slight Injury,Wednesday
23:00:00,Over 51,Male,Employee,1-2yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,3,Moving forward,na,Unsafe Lane Change,Slight Injury,Wednesday
23:00:00,31-50,Male,Owner,5-10yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,3,Moving backward,na,Priority Violation,Slight Injury,Wednesday
07:00:00,18-30,Unknown,Employee,Below 1yr,Commercial Vehicle,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Serious Injury,Monday
07:00:00,18-30,Male,Employee,2-5yr,Private Vehicle,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,No Distance,Serious Injury,Monday
15:00:00,31-50,Male,Employee,5-10yr,Private Vehicle,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Moving Backward,Fatal injury,Sunday
15:00:00,31-50,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Fatal injury,Sunday
15:00:00,18-30,Male,Employee,2-5yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,na,No Distance,Slight Injury,Monday
15:00:00,18-30,Male,Owner,Above 10yr,Commercial Vehicle,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,na,No Distance,Slight Injury,Monday
09:00:00,Over 51,Male,Employee,1-2yr,Private Vehicle,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,No Distance,Slight Injury,Sunday
09:00:00,Over 51,Male,Employee,5-10yr,Commercial Vehicle,Governmental, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Priority Violation,Slight Injury,Sunday
17:00:00,18-30,Male,Employee,2-5yr,Commercial Vehicle,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,na,Driving carelessly,Slight Injury,Thursday
17:00:00,18-30,Male,Employee,2-5yr,Public Transport,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Thursday
17:00:00,31-50,Male,Employee,2-5yr,Commercial Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Thursday
20:00:00,18-30,Unknown,Employee,2-5yr,Private Vehicle,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,2,1,Moving forward,2,Driving carelessly,Slight Injury,Sunday
20:00:00,Over 51,Male,Employee,Above 10yr,Private Vehicle,Owner, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Driving carelessly,Slight Injury,Sunday
21:00:00,18-30,Male,Employee,Above 10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,3,No Distance,Slight Injury,Thursday
21:00:00,31-50,Male,Employee,5-10yr,Private Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,na,Other,Slight Injury,Thursday
19:00:00,18-30,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Monday
19:00:00,18-30,Male,Employee,2-5yr,Public Transport,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Monday
16:00:00,18-30,Male,Employee,5-10yr,Public Transport,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Stopping,2,No Distance,Slight Injury,Monday
