Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
14:40:00,Saturday,Dewasa,Male,Above high school,Owner,1-2yr,Public Transport,Owner,Unknown,No defect,Residential areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
14:40:00,Saturday,Dewasa,Male,Above high school,Employee,No Licence,Private Vehicle,Owner,,No defect,Office areas,Undivided Two way,Straight,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Priority Violation,Serious Injury
17:45:00,Thursday,Dewasa,Male,Junior high school,Employee,1-2yr,Public Transport,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Slight Injury
17:45:00,Thursday,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,Above 10yr,No defect,Office areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Waiting to go,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
17:45:00,Thursday,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,1-2yr,No defect,Office areas,Undivided Two way,,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,Female,18-30,3,Normal,Not a Pedestrian,No Distance,Serious Injury
22:45:00,Monday,Dewasa,Female,Junior high school,Employee,Above 10yr,Commercial Vehicle,Owner,,No defect,Office areas,One way,Straight,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,No Distance,Serious Injury
22:45:00,Monday,Dewasa,Male,Junior high school,Owner,5-10yr,Public Transport,Owner,,No defect,Office areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Moving Backward,Slight Injury
22:45:00,Monday,Dewasa,Male,Elementary school,Employee,2-5yr,Public Transport,Owner,,No defect,Office areas,other,Straight,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
22:45:00,Monday,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,Above 10yr,No defect,Residential areas,other,Straight,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
8:20:00,Tuesday,Dewasa,Male,Junior high school,Employee,Below 1yr,Commercial Vehicle,Owner,5-10yrs,No defect,Residential areas,One way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Male,Under 18,3,Normal,Not a Pedestrian,Moving Backward,Serious Injury
8:20:00,Tuesday,Remaja,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,,No defect,Other,One way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Improper Parking/Exit,Slight Injury
15:10:00,Thursday,Dewasa,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,5-10yrs,No defect, Church areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,Male,18-30,3,Normal,Not a Pedestrian,Speeding,Serious Injury
12:11:00,Thursday,Dewasa,Male,Elementary school,Employee,5-10yr,Commercial Vehicle,Owner,,No defect,  Recreational areas,other,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Getting off,Female,31-50,3,Normal,Not a Pedestrian,Overloading,Serious Injury
12:11:00,Thursday,Dewasa,Male,Junior high school,Employee,Above 10yr,Public Transport,Owner,,, Industrial areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Male,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
18:36:00,Wednesday,Dewasa,Male,,Unknown,,Private Vehicle,,,,Residential areas,other,Straight,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with animals,2,3,Turnover,unknown,unknown,unknown,Normal,Not a Pedestrian,Improper Parking/Exit,Slight Injury
18:36:00,Wednesday,Dewasa,Male,Junior high school,Employee,2-5yr,Public Transport,Owner,Above 10yr,No defect,Residential areas,other,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,Female,31-50,3,Normal,Not a Pedestrian,Other,Slight Injury
18:36:00,Wednesday,Dewasa,Unknown,Junior high school,Employee,5-10yr,Private Vehicle,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,Male,Under 18,3,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Unsafe Lane Change,Slight Injury
14:35:00,Friday,Dewasa,Male,Above high school,Employee,2-5yr,Private Vehicle,Owner,2-5yrs,No defect,  Market areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
12:25:00,Tuesday,Lansia,Unknown,,Unknown,,Private Vehicle,,,,Unknown,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,31-50,3,unknown,Not a Pedestrian,Priority Violation,Slight Injury
12:25:00,Tuesday,Dewasa,Male,,Employee,1-2yr,Commercial Vehicle,Owner,,No defect, Industrial areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Male,18-30,2,Normal,Not a Pedestrian,Speeding,Slight Injury
15:30:00,Monday,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,,No defect,Residential areas,Two-way (divided with solid lines road marking),Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
18:10:00,Thursday,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Governmental,Below 1yr,No defect,Residential areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,Male,18-30,3,unknown,Not a Pedestrian,Priority Violation,Slight Injury
15:25:00,Thursday,Dewasa,Male,Junior high school,Employee,Below 1yr,Commercial Vehicle,Owner,5-10yrs,No defect,Other,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Female,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
15:25:00,Thursday,Dewasa,Unknown,Junior high school,Employee,2-5yr,Private Vehicle,Governmental,,No defect,Residential areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Slight Injury
13:57:00,Saturday,Lansia,Male,Junior high school,Employee,Below 1yr,Private Vehicle,Owner,1-2yr,No defect,Rural village areas,Undivided Two way,Curved,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Female,18-30,3,Normal,Not a Pedestrian,Priority Violation,Slight Injury
13:57:00,Saturday,Dewasa,Male,High school,Employee,5-10yr,Private Vehicle,Owner,2-5yrs,No defect,Rural village areas,Undivided Two way,Curved,O Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Male,Under 18,3,Normal,Unknown or other,No Distance,Slight Injury
20:30:00,Friday,Dewasa,Male,Above high school,Employee,1-2yr,Public Transport,Owner,,No defect,Office areas,Double carriageway (median),Straight,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
20:30:00,Friday,Lansia,Male,Junior high school,Employee,Below 1yr,Private Vehicle,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Curved,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Female,18-30,2,Normal,Not a Pedestrian,Other,Slight Injury
20:30:00,Friday,Lansia,Male,,Unknown,,Private Vehicle,Owner,,,Residential areas,other,Straight,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
16:30:00,Sunday,Lansia,Male,High school,Employee,Below 1yr,Private Vehicle,Owner,,7, Outside rural areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Female,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
16:30:00,Sunday,Dewasa,Male,High school,Employee,Below 1yr,Commercial Vehicle,Owner,Above 10yr,,Residential areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
21:50:00,Sunday,Dewasa,Male,,Unknown,,Private Vehicle,Owner,5-10yrs,5, Church areas,other,Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Female,31-50,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
21:50:00,Sunday,Dewasa,Male,High school,Employee,2-5yr,Private Vehicle,Owner,,No defect,Office areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Male,18-30,3,unknown,Not a Pedestrian,Priority Violation,Slight Injury
9:12:00,Wednesday,Dewasa,Male,Junior high school,Employee,Above 10yr,Public Transport,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,Under 18,3,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No Distance,Slight Injury
9:12:00,Wednesday,Dewasa,Male,Junior high school,Employee,Above 10yr,Public Transport,Governmental,,No defect,Office areas,Two-way (divided with broken lines road marking),,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Male,Under 18,3,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
14:40:00,Friday,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,2-5yrs,,Other,Undivided Two way,,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
10:36:00,Friday,Dewasa,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,2-5yrs,,Other,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Speeding,Slight Injury
10:36:00,Friday,Dewasa,Male,Unknown,Employee,Below 1yr,Non-Motorized,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Female,18-30,3,Normal,Not a Pedestrian,No Distance,Slight Injury
18:19:00,Monday,Dewasa,Male,Junior high school,Employee,Below 1yr,Private Vehicle,Owner,,,Other,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
18:19:00,Monday,Dewasa,Male,High school,Employee,2-5yr,Private Vehicle,Owner,Below 1yr,,Other,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,2,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
19:12:00,Tuesday,Dewasa,Male,Junior high school,Owner,1-2yr,Private Vehicle,Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Straight,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Female,Over 51,3,Normal,Not a Pedestrian,Improper Parking/Exit,Slight Injury
19:12:00,Tuesday,Dewasa,Male,Junior high school,Employee,5-10yr,Other,Governmental,5-10yrs,No defect,Other,Undivided Two way,Straight,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Other,Slight Injury
11:38:00,Saturday,Lansia,Male,Elementary school,Employee,2-5yr,Public Transport,Owner,2-5yrs,No defect,Other,Double carriageway (median),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Other,Slight Injury
11:38:00,Saturday,Dewasa,Male,Elementary school,Owner,5-10yr,Private Vehicle,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Male,31-50,3,Normal,Not a Pedestrian,No Distance,Slight Injury
11:38:00,Saturday,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,2-5yrs,, Church areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Priority Violation,Slight Injury
11:38:00,Saturday,Dewasa,Unknown,Junior high school,Employee,5-10yr,Private Vehicle,Owner,5-10yrs,,Other,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Female,18-30,3,Normal,Not a Pedestrian,Speeding,Slight Injury
13:30:00,Thursday,Dewasa,Male,High school,Employee,5-10yr,Public Transport,Organization,2-5yrs,, Industrial areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Male,31-50,3,unknown,Not a Pedestrian,Priority Violation,Slight Injury
13:30:00,Thursday,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,,No defect,Residential areas,Double carriageway (median),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Slight Injury
12:39:00,Tuesday,Dewasa,Unknown,Junior high school,Employee,Above 10yr,Private Vehicle,Governmental,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Straight,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
12:39:00,Tuesday,Lansia,Male,Junior high school,,1-2yr,Commercial Vehicle,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Straight,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
12:30:00,Friday,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,,No defect, Industrial areas,Unknown,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
12:30:00,Friday,Dewasa,Male,Junior high school,Employee,1-2yr,Public Transport,Owner,1-2yr,No defect, Industrial areas,Double carriageway (median),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Speeding,Slight Injury
16:55:00,Sunday,Dewasa,Male,,,,Private Vehicle,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Male,Under 18,3,Normal,Not a Pedestrian,Other,Slight Injury
16:55:00,Sunday,Dewasa,Male,Elementary school,Employee,5-10yr,Public Transport,Organization,Above 10yr,, Hospital areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
18:25:00,Monday,Unknwon,Female,Junior high school,Employee,5-10yr,Public Transport,Owner,Unknown,,Office areas,One way,Straight,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Female,Over 51,3,Normal,Not a Pedestrian,Speeding,Slight Injury
18:25:00,Monday,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,2-5yrs,No defect, Church areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Female,31-50,3,unknown,Not a Pedestrian,Unknown,Slight Injury
13:01:00,Thursday,Dewasa,Unknown,Junior high school,Employee,2-5yr,Private Vehicle,Organization,5-10yrs,No defect, Hospital areas,Undivided Two way,,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Female,31-50,3,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
13:01:00,Thursday,Dewasa,Male,Junior high school,Owner,Above 10yr,Private Vehicle,Owner,Above 10yr,No defect,Office areas,other,Straight,O Shape,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Male,18-30,3,Normal,Not a Pedestrian,No Distance,Slight Injury
13:45:00,Wednesday,Dewasa,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Other,Slight Injury
13:45:00,Wednesday,Dewasa,Male,Elementary school,Other,5-10yr,Public Transport,Owner,1-2yr,,Office areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Priority Violation,Slight Injury
18:45:00,Monday,Dewasa,Male,Elementary school,Employee,5-10yr,Commercial Vehicle,Owner,2-5yrs,,Office areas,Two-way (divided with broken lines road marking),,Crossing,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Male,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
18:45:00,Monday,Dewasa,Male,Junior high school,Unknown,5-10yr,Private Vehicle,Owner,,No defect,Other,Double carriageway (median),Mountainous,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Priority Violation,Slight Injury
11:02:00,Thursday,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,1-2yr,No defect,Office areas,Undivided Two way,Straight,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Speeding,Slight Injury
11:02:00,Thursday,Dewasa,Male,Elementary school,Employee,Above 10yr,Private Vehicle,Owner,,No defect,Residential areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Male,Over 51,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
11:02:00,Thursday,Dewasa,Male,Junior high school,,Below 1yr,Public Transport,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Priority Violation,Slight Injury
11:02:00,Thursday,Dewasa,Male,Junior high school,Employee,5-10yr,Public Transport,Owner,2-5yrs,,Office areas,Double carriageway (median),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Female,31-50,3,Normal,Not a Pedestrian,Priority Violation,Slight Injury
15:55:00,Tuesday,Lansia,Male,Elementary school,Employee,1-2yr,Commercial Vehicle,Owner,5-10yrs,,Office areas,Undivided Two way,,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Male,31-50,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
15:00:00,Wednesday,Lansia,Unknown,,Unknown,,Private Vehicle,,,,Office areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
20:00:00,Sunday,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Straight,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Female,18-30,3,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
20:00:00,Sunday,Remaja,Male,High school,Owner,2-5yr,Private Vehicle,Owner,,No defect, Church areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
18:48:00,Wednesday,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,Unknown,No defect, Industrial areas,Undivided Two way,Straight,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Female,31-50,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
18:48:00,Wednesday,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,1-2yr,No defect,Office areas,Double carriageway (median),Straight,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Male,18-30,2,unknown,Not a Pedestrian,Reckless Driving,Serious Injury
15:55:00,Sunday,Lansia,Male,Above high school,Owner,2-5yr,Commercial Vehicle,Owner,Unknown,No defect, Church areas,Undivided Two way,Straight,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Driving carelessly,Slight Injury
15:55:00,Sunday,Lansia,Male,,Unknown,,Commercial Vehicle,Owner,,,Office areas,Undivided Two way,Straight,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,Female,Under 18,3,Normal,Not a Pedestrian,No Distance,Slight Injury
23:25:00,Wednesday,Lansia,Unknown,Elementary school,Owner,2-5yr,Private Vehicle,Owner,,No defect,Office areas,other,Straight,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,Female,18-30,3,unknown,Not a Pedestrian,Driving carelessly,Slight Injury
