Time,Day,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
18:00:00,Wednesday,18-30,Unknown,Employee,5-10yr,Automobile,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,3,Moving forward,Male,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
14:00:00,Friday,18-30,Male,Employee,2-5yr,Automobile,Owner,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,1,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12:00:00,Tuesday,Over 51,Unknown,Unknown,5-10yr,Automobile,Owner,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,31-50,3,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
12:00:00,Tuesday,18-30,Male,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,Male,18-30,2,Driver,Normal,Not a Pedestrian,Overspeed,Slight Injury
15:00:00,Monday,18-30,Male,Employee,2-5yr,Automobile,Owner,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,1,Moving forward,na,na,na,,,Not a Pedestrian,Changing lane to the left,Slight Injury
18:00:00,Thursday,18-30,Male,Employee,Above 10yr,Automobile,Governmental,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,1,Moving backward,Male,18-30,3,Driver,,Not a Pedestrian,No priority to vehicle,Slight Injury
15:00:00,Thursday,18-30,Male,Employee,Below 1yr,Lorry (41 - 100 Quintal),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving backward,Female,18-30,3,,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
15:00:00,Thursday,31-50,Unknown,Employee,2-5yr,Automobile,Governmental,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Turning,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
13:00:00,Saturday,Over 51,Male,Employee,Below 1yr,Automobile,Owner,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
13:00:00,Saturday,18-30,Male,Employee,5-10yr,Automobile,Owner,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,Male,Under 18,3,Driver,Normal,Unknown or other,No distancing,Slight Injury
20:00:00,Friday,18-30,Male,Employee,1-2yr,Taxi,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,2,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
20:00:00,Friday,Over 51,Male,Employee,Below 1yr,Automobile,Owner,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Animal Collision,2,2,Moving forward,Female,18-30,2,Driver,Normal,Not a Pedestrian,Other,Slight Injury
20:00:00,Friday,Over 51,Male,Unknown,5-10yr,Automobile,Owner,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Animal Collision,2,2,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
16:00:00,Sunday,Over 51,Male,Employee,Below 1yr,Automobile,Owner, Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,Female,18-30,3,Employee,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
16:00:00,Sunday,31-50,Male,Employee,Below 1yr,Pick up upto 10 Quintal,Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
21:00:00,Sunday,31-50,Male,Unknown,5-10yr,Automobile,Owner, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
21:00:00,Sunday,18-30,Male,Employee,2-5yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,2,2,Moving forward,Male,18-30,3,,,Not a Pedestrian,No priority to vehicle,Slight Injury
09:00:00,Wednesday,18-30,Male,Employee,Above 10yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,Under 18,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
09:00:00,Wednesday,18-30,Male,Employee,Above 10yr,Public (13 - 45 seats),Governmental,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Under 18,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
14:00:00,Friday,31-50,Male,Employee,5-10yr,Lorry (11 - 40 Quintal),Owner,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
10:00:00,Friday,31-50,Male,Employee,1-2yr,Stationwagen,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,,,Not a Pedestrian,Driving at high speed,Slight Injury
10:00:00,Friday,31-50,Male,Employee,Below 1yr,Ridden horse,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
18:00:00,Monday,18-30,Male,Employee,Below 1yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
18:00:00,Monday,18-30,Male,Employee,2-5yr,Automobile,Owner,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,2,,,Not a Pedestrian,Changing lane to the left,Slight Injury
19:00:00,Tuesday,18-30,Male,Owner,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
19:00:00,Tuesday,31-50,Male,Employee,5-10yr,Other,Governmental,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Employee,Normal,Not a Pedestrian,Other,Slight Injury
11:00:00,Saturday,Over 51,Male,Employee,2-5yr,Taxi,Owner,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,3,Moving forward,Male,31-50,3,Other,Normal,Not a Pedestrian,Other,Slight Injury
11:00:00,Saturday,31-50,Male,Owner,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,Male,31-50,3,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury
11:00:00,Saturday,31-50,Male,Employee,Above 10yr,Stationwagen,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,3,Moving forward,na,na,na,,,Not a Pedestrian,No priority to vehicle,Slight Injury
11:00:00,Saturday,18-30,Unknown,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,Female,18-30,3,Employee,Normal,Not a Pedestrian,Overtaking,Slight Injury
13:00:00,Thursday,18-30,Male,Employee,5-10yr,Public (12 seats),Organization, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,Male,31-50,3,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
13:00:00,Thursday,31-50,Male,Employee,5-10yr,Automobile,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury
12:00:00,Tuesday,18-30,Unknown,Employee,Above 10yr,Automobile,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,1,Moving forward,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12:00:00,Tuesday,Over 51,Male,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,1,Moving forward,Male,18-30,3,Employee,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
12:00:00,Friday,18-30,Male,Employee,2-5yr,Automobile,Owner, Industrial areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12:00:00,Friday,31-50,Male,Employee,1-2yr,Public (> 45 seats),Owner, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
16:00:00,Sunday,31-50,Male,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Under 18,3,Student,Normal,Not a Pedestrian,Other,Slight Injury
16:00:00,Sunday,31-50,Male,Employee,5-10yr,Public (12 seats),Organization, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
18:00:00,Monday,Unknown,Female,Employee,5-10yr,Public (12 seats),Owner,Office areas,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
18:00:00,Monday,31-50,Male,Employee,Above 10yr,Automobile,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Female,31-50,3,,,Not a Pedestrian,Unknown,Slight Injury
13:00:00,Thursday,31-50,Unknown,Employee,2-5yr,Automobile,Organization, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Female,31-50,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
13:00:00,Thursday,18-30,Male,Owner,Above 10yr,Automobile,Owner,Office areas,other,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Unknown,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
13:00:00,Wednesday,18-30,Male,Employee,2-5yr,Lorry (41 - 100 Quintal),Owner,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Other,Slight Injury
13:00:00,Wednesday,31-50,Male,Other,5-10yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
18:00:00,Monday,18-30,Male,Employee,5-10yr,Lorry (11 - 40 Quintal),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving backward,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18:00:00,Monday,31-50,Male,Unknown,5-10yr,Automobile,Owner,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,na,na,na,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
11:00:00,Thursday,31-50,Male,Employee,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
11:00:00,Thursday,31-50,Male,Employee,Above 10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
11:00:00,Thursday,31-50,Male,Employee,Below 1yr,Bajaj,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,na,na,na,,,Not a Pedestrian,No priority to vehicle,Slight Injury
11:00:00,Thursday,31-50,Male,Employee,5-10yr,Public (12 seats),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
15:00:00,Tuesday,Over 51,Male,Employee,1-2yr,Lorry (11 - 40 Quintal),Owner,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Turning,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
15:00:00,Wednesday,Over 51,Unknown,Unknown,5-10yr,Automobile,Owner,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,na,na,na,,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
20:00:00,Sunday,31-50,Male,Employee,Above 10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,Female,18-30,3,Self-employed,,Not a Pedestrian,Changing lane to the right,Slight Injury
20:00:00,Sunday,Under 18,Male,Owner,2-5yr,Automobile,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18:00:00,Wednesday,31-50,Male,Employee,1-2yr,Lorry (11 - 40 Quintal),Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Pedestrian Collision,2,1,Moving forward,Female,31-50,3,Other,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
18:00:00,Wednesday,31-50,Male,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,Male,18-30,2,Driver,,Not a Pedestrian,Overturning,Serious Injury
15:00:00,Sunday,Over 51,Male,Owner,2-5yr,Pick up upto 10 Quintal,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,2,Moving forward,na,na,na,,,Not a Pedestrian,Driving carelessly,Slight Injury
15:00:00,Sunday,Over 51,Male,Unknown,5-10yr,Lorry (11 - 40 Quintal),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,2,Turning,Female,Under 18,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
23:00:00,Wednesday,Over 51,Unknown,Owner,2-5yr,Stationwagen,Owner,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Self-accident,2,3,Moving forward,Female,18-30,3,Driver,,Not a Pedestrian,Driving carelessly,Slight Injury
23:00:00,Wednesday,Over 51,Male,Employee,1-2yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,3,Moving forward,na,na,na,,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
23:00:00,Wednesday,31-50,Male,Owner,5-10yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,3,Moving backward,na,na,na,,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
07:00:00,Monday,18-30,Unknown,Employee,Below 1yr,Lorry (11 - 40 Quintal),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
07:00:00,Monday,18-30,Male,Employee,2-5yr,Automobile,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
